23.01.2019 23:54:04;stage;file;history_win;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES;epoch
24.01.2019 03:50:33;stage;file;history_win;usevol;dueling;traineval;allprices;allprices2;candlenum;maxProfit;maxLOSS;avgProfit;avgLOSS;maxdrop;Total profit;TRADES;epoch
24.01.2019 03:55:30;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;1540.0;169.97448979591837;146.52227722772278;111.0;14870.0;1592;0
24.01.2019 03:56:21;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2600.0;3910.0;179.21855921855922;164.7450110864745;8.371681415929203;-1820.0;1721;0
24.01.2019 04:01:19;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2290.0;960.0;178.03341902313625;141.20805369127515;2.642857142857143;33310.0;1523;1
24.01.2019 04:02:10;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;3310.0;2620.0;201.8321513002364;175.36559139784947;2.131782945736434;7660.0;1776;1
24.01.2019 04:07:05;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2290.0;1650.0;190.7891156462585;155.36376604850213;3.4166666666666665;31320.0;1436;2
24.01.2019 04:07:56;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2660.0;3200.0;254.47470817120623;224.20221169036336;2.980182926829268;-11120.0;1147;2
24.01.2019 04:12:51;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2620.0;1380.0;204.18118466898954;169.78476821192052;2.5306122448979593;14650.0;1178;3
24.01.2019 04:13:42;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;5070.0;3750.0;261.2762237762238;202.6631158455393;4.152610441767068;-2750.0;1323;3
24.01.2019 04:18:41;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;1380.0;255.352422907489;194.14847161572052;11.428571428571429;27010.0;912;4
24.01.2019 04:19:33;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2950.0;3210.0;222.4915824915825;208.5880077369439;14.871794871794872;-17440.0;1925;4
24.01.2019 04:24:30;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2780.0;1180.0;276.18384401114207;172.5740318906606;3.7333333333333334;23390.0;798;5
24.01.2019 04:25:20;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;3650.0;2030.0;479.63963963963965;277.59305210918114;7.18374558303887;-5390.0;625;5
24.01.2019 04:30:16;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;930.0;311.7824773413897;202.43835616438355;15.0;29310.0;696;6
24.01.2019 04:31:06;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2550.0;3210.0;358.64;254.62809917355372;4.175;11250.0;859;6
24.01.2019 04:36:05;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;750.0;287.9591836734694;207.7126099706745;0.7;13830.0;635;7
24.01.2019 04:36:54;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;3250.0;3210.0;342.94117647058823;285.3973509933775;73.16666666666667;7090.0;574;7
24.01.2019 04:42:06;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;6550.0;760.0;331.4671814671815;205.01618122977345;0.5254901960784314;22500.0;568;8
24.01.2019 04:42:56;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;3130.0;2330.0;322.1559633027523;300.39525691699606;27.9375;-5770.0;471;8
24.01.2019 04:47:50;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;9310.0;1180.0;304.35897435897436;204.05017921146953;1.0;26160.0;552;9
24.01.2019 04:48:39;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;4040.0;3210.0;341.7880794701987;244.11290322580646;0.9525959367945824;12410.0;674;9
24.01.2019 04:53:35;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;810.0;265.09090909090907;227.31034482758622;3.901639344262295;6980.0;565;10
24.01.2019 04:54:24;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;1230.0;3210.0;283.6776859504132;267.56849315068496;100.4;-9480.0;534;10
24.01.2019 04:59:22;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;1020.0;247.35211267605635;214.27397260273972;1.9702702702702704;9600.0;720;11
24.01.2019 05:00:12;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2400.0;3750.0;297.0846394984326;273.5549132947977;8.944444444444445;120.0;665;11
24.01.2019 05:05:08;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;920.0;244.8732394366197;198.47826086956522;1.3522727272727273;13890.0;723;12
24.01.2019 05:05:59;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;3180.0;1650.0;289.34322033898303;201.4392523364486;14.88;28800.0;1007;12
24.01.2019 05:10:56;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;1340.0;209.151376146789;179.45770065075922;0.9746835443037974;8460.0;897;13
24.01.2019 05:11:47;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2630.0;3210.0;264.8633879781421;288.7189292543021;4.817910447761194;-5590.0;1072;13
24.01.2019 05:16:47;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2290.0;810.0;216.17582417582418;178.71244635193133;0.7335593220338983;15080.0;921;14
24.01.2019 05:17:38;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;3420.0;2030.0;246.76222596964587;228.26306913996626;1.3445945945945945;10970.0;1186;14
24.01.2019 05:22:38;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;5340.0;960.0;235.60185185185185;185.22088353413653;0.9340659340659341;4770.0;465;15
24.01.2019 05:23:29;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;3180.0;1920.0;250.30769230769232;230.14792899408283;2.208416833667335;7120.0;1326;15
24.01.2019 05:28:29;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;1410.0;220.20100502512562;186.05200945626478;8.285714285714286;8940.0;821;16
24.01.2019 05:29:20;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;3420.0;1600.0;314.55882352941177;225.25641025641025;3.5925925925925926;19100.0;730;16
24.01.2019 05:34:23;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;890.0;242.04301075268816;155.0753768844221;4.045454545454546;14160.0;385;17
24.01.2019 05:35:13;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;3420.0;1720.0;342.65700483091786;272.9770992366412;4.0;-590.0;469;17
24.01.2019 05:40:16;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;920.0;268.46153846153845;203.8403041825095;9.9;5720.0;484;18
24.01.2019 05:41:07;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;1500.0;620.0;283.4375;205.375;1.2028985507246377;1710.0;144;18
24.01.2019 05:46:01;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;1060.0;287.8391959798995;208.56521739130434;5.4375;9310.0;429;19
24.01.2019 05:46:50;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;3360.0;3210.0;400.55555555555554;233.27814569536423;2.652173913043478;8860.0;500;19
24.01.2019 05:51:46;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;1260.0;273.444976076555;201.36363636363637;2.1354166666666665;8420.0;451;20
24.01.2019 05:52:35;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2550.0;1910.0;332.14574898785423;283.97058823529414;1.5114638447971782;4800.0;519;20
24.01.2019 05:57:29;train;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;2440.0;1170.0;276.7171717171717;196.58031088082902;2.6363636363636362;16850.0;391;21
24.01.2019 05:58:19;eval;D:\PycharmProjects\RIZ8\SPFB.RTS-3.18(5M).csv;90;True;True;False;True;False;False;3150.0;2010.0;259.02542372881356;246.42857142857142;5.142857142857143;-4420.0;502;21
